variant,ag1,ag2,birth,death
12,14.70792329830973,3.594825491091823,0.0398,3.7861
20,16.88703064,4.604029280000001,0.9129,5.4143
16,15.57257040930441,2.472586088123462,0.989,3.5738
2,20.85078343519495,0.7367799789251844,2.255,6.6168
27,18.30732135951661,2.4190067371601214,2.8754,4.7893
5,19.112090952719516,2.889447458229648,3.1436,5.4155
8,22.762343103782737,-1.2649527255092146,5.0482,7.8726
15,24.18615316091954,-3.416125928381962,6.4378,9.0094
9,24.732219755884923,-5.105352013949434,7.7554,10.3911
25,26.733535652424933,-4.68749584295612,7.8897,11.0684
0,27.426506026058625,-6.477697719869708,8.6369,12.3207
22,27.87418743471582,-5.4045352073732715,8.6405,11.7104
17,30.48460085356096,-5.183151960522807,10.3776,16.3713
28,30.74833603880356,-4.063871641067097,10.6997,16.1988
6,31.891928502994006,-4.203455528942115,10.9942,17.4773
13,33.174069483195936,-5.6199150919467336,11.5287,18.1488
10,34.96023342042755,-7.2152152969121115,16.3343,18.6666
19,36.29195936936937,-7.8126073423423446,17.6393,20.8583
29,37.96826482758621,-8.608711264367816,17.9821,21.0961
4,40.93380083953746,-9.006302423570407,20.1276,25.9726
24,42.98732652519894,-8.140844945475978,20.5682,25.2139
11,45.13671192697228,-7.206374666844347,22.6451,26.2991
3,46.34419258331728,-5.750446407243305,23.6374,26.723
14,48.100610819932506,-4.218361782807226,24.6719,27.4622
26,48.24843151335311,-6.099143442136498,24.7287,27.1964
18,50.80662197097181,-2.9614365797223394,26.6031,28.0458
1,51.743120888355335,-2.2789957983193276,26.6637,28.0965
23,53.53463055853919,-1.0176737647690655,27.3515,29.8925
7,54.99471387428298,0.06689737093690248,28.0626,29.9934
21,57.8984988030888,0.6015295366795367,29.0608,29.9973
